"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Tanzania (United Republic of)","Anopheles arabiensis",68.4,26,NA,"",74.4,25.5,"%calc","","","","","Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38"
"Tanzania (United Republic of)","Anopheles arabiensis",47.9,4,NA,"",64.6,35.4,"%calc","","","","","Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38"
"Tanzania (United Republic of)","Anopheles arabiensis",66.4,4,NA,"",70.2,29.8,"%calc","","","","","Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38"
"Tanzania (United Republic of)","Anopheles gambiae",NA,100,NA,"HBI (%calc)",NA,NA,"","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles funestus complex",NA,50,NA,"HBI (%calc)",NA,NA,"","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles gambiae",NA,88,NA,"HBI (%calc)",NA,NA,"","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles gambiae",NA,88,NA,"HBI (%calc)",45.3,54.7,"%","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles funestus complex",NA,33,NA,"HBI (%calc)",NA,NA,"","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles gambiae",NA,83,NA,"HBI (%calc)",48.6,51.4,"%","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles gambiae",NA,66,NA,"HBI (%calc)",16.7,83.3,"%","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
"Tanzania (United Republic of)","Anopheles funestus complex",NA,43,NA,"HBI (%calc)",NA,NA,"","","","","","Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108"
