"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Belize","Anopheles darlingi",100,67,NA,"HBI (%)",NA,NA,"","","","","","Grieco, J.P., Achee, N.L., Andre, R.G. and Roberts, D.R. (2002).  Host feeding preferences of Anopheles species collected by manual aspiration, mechanical aspiration, and from a vehicle-mounted trap in the Toledo District, Belize, Central America. Journal of the American Mosquito Control Association, 18(4):307-15"
"Belize","Anopheles albimanus",NA,11,NA,"HBI (%)",NA,NA,"","","","","","Grieco, J.P., Achee, N.L., Andre, R.G. and Roberts, D.R. (2002).  Host feeding preferences of Anopheles species collected by manual aspiration, mechanical aspiration, and from a vehicle-mounted trap in the Toledo District, Belize, Central America. Journal of the American Mosquito Control Association, 18(4):307-15"
"Dominican Republic","Anopheles albimanus",13.3,5.4,4.4,"HBI (%)",NA,NA,"","","","","","Mekuria, Y., Granados, R., Tidwell, M.A., Williams, D.C., Wirtz, R.A. and Roberts, D.R. (1991).  Malaria transmission potential by Anopheles mosquitoes of Dajabon, Dominican Republic. Journal of the American Mosquito Control Association, 7(3):456-61"
"Mexico","Anopheles pseudopunctipennis complex",56.7,18.2,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",52.8,19.2,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",0,12.5,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",88.1,0,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",80,23.9,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",0,0,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
"Mexico","Anopheles pseudopunctipennis complex",NA,33.3,NA,"HBI (%)",NA,NA,"","","","","","Fernandez-Salas, I., Roberts, D.R., Rodriguez, M.H., Rodriguez, M.d.e.l.C. and Marina-Fernandez, C.F. (1993).  Host selection patterns of Anopheles pseudopunctipennis under insecticide spraying situations in southern Mexico. Journal of the American Mosquito Control Association, 9(4):375-84"
