"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles pseudopunctipennis complex",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",21.74,78.26,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",100,0,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles pseudopunctipennis complex",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",33.33,66.67,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",100,0,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles pseudopunctipennis complex",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",19.35,80.65,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",38.41,61.59,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",54.55,45.45,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",25,75,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",60,40,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",50,50,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",40,60,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles pseudopunctipennis complex",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",100,0,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",19.05,80.95,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",50,50,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",38.1,61.9,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",15.79,84.21,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",25,75,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles pseudopunctipennis complex",NA,NA,NA,"",50,50,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles albimanus",NA,NA,NA,"",8.33,91.67,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
"Belize","Anopheles darlingi",NA,NA,NA,"",0,100,"%calc","","","","","Roberts, D.R., Manguin, S., Rejmankova, E., Andre, R., Harbach, R.E., Vanzie, E., Hakre, S. and Polanco, J. (2002).  Spatial distribution of adult Anopheles darlingi and Anopheles albimanus in relation to riparian habitats in Belize, Central America. Journal of Vector Ecology, 27(1):21-30"
