"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"India","Anopheles annularis complex",4.3,NA,NA,"HBI (%)",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles subpictus complex",6.8,NA,NA,"HBI (%)",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles fluviatilis complex",NA,14,NA,"HBI (%)",NA,NA,"","","","","","Sadanandane, C., Gunasekaran, K., Jambulingam, P. and Das, P.K. (1993).  Studies on dispersal of malaria vectors in a hilly tract of Koraput District, Orissa State, India. The Southeast Asian Journal of Tropical Medicine and Public Health, 24(3):508-12"
"India","Anopheles fluviatilis complex",84.8,15.6,NA,"HBI (%)",NA,NA,"","","","","","Parida, S.K., Hazra, R.K., Marai, N., Tripathy, H.K. and Mahapatra, N. (2006).  Host feeding patterns of malaria vectors of Orissa, India. Journal of the American Mosquito Control Association, 22(4):629-34"
"India","Anopheles culicifacies complex",2.7,0.76,NA,"HBI (%)",NA,NA,"","","","","","Parida, S.K., Hazra, R.K., Marai, N., Tripathy, H.K. and Mahapatra, N. (2006).  Host feeding patterns of malaria vectors of Orissa, India. Journal of the American Mosquito Control Association, 22(4):629-34"
"India","Anopheles annularis complex",0.9,3.6,NA,"HBI (%)",NA,NA,"","","","","","Parida, S.K., Hazra, R.K., Marai, N., Tripathy, H.K. and Mahapatra, N. (2006).  Host feeding patterns of malaria vectors of Orissa, India. Journal of the American Mosquito Control Association, 22(4):629-34"
"Myanmar","Anopheles baimaii (formerly dirus Sp. D)",54.12,NA,NA,"AI",42.59,57.41,"%calc","","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"Myanmar","Anopheles minimus complex",28.77,NA,NA,"AI",55.3,44.68,"%calc","t","t","","","Tun-Lin, W., Thu, M.M., Than, S.M. and Mya, M.M. (1995).  Hyperendemic malaria in a forested, hilly Myanmar village. Journal of the American Mosquito Control Association, 11(4):401-7"
"India","Anopheles culicifacies complex",0.9,NA,NA,"HBI (%)",NA,NA,"","","","","","Dua, V.K., Nanda, N., Gupta, N.C., Kar, P.K., Subbarao, S.K. and Sharma, V.P. (2000).  Investigation of malaria prevalence at National Thermal Power Corporation, Shaktinagar, Sonbhadra District (Uttar Pradesh), India. The Southeast Asian Journal of Tropical Medicine and Public Health, 31(4):818-24"
"India","Anopheles culicifacies (Sp. A)",1.3,NA,NA,"HBI (%)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
