"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"Yemen","Anopheles arabiensis",NA,NA,NA,"",NA,NA,"","","","","","al-Maktari, M.T. and Bassiouny, H.K. (1999).  Bionomics of anopheline vectors in Zabid District, Al-Hodeidah Governorate, Republic of Yemen. Eastern Mediterranean Health Journal, 5(4):698-705"
"Sri Lanka","Anopheles annularis complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles annularis complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles annularis complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Sri Lanka","Anopheles subpictus complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Sri Lanka","Anopheles subpictus complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Sri Lanka","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Sri Lanka","Anopheles subpictus complex",NA,NA,NA,"",NA,NA,"","","","","","Amerasinghe, F.P., Amerasinghe, P.H., Peiris, J.S. and Wirtz, R.A. (1991).  Anopheline ecology and malaria infection during the irrigation development of an area of the Mahaweli Project, Sri Lanka. American Journal of Tropical Medicine and Hygiene, 45(2):226-35"
"Cambodia","Anopheles dirus complex",NA,NA,NA,"",NA,NA,"","","t","t","","Socheath, S., Seng, C., RathTS, Deesin, V., Deesin, T. and Apiwathanasorn, C. (2000).  Study on bionomics of principal malaria vectors in Kratie province, Cambodia. The Southeast Asian Journal of Tropical Medicine and Public Health, 31 Suppl 1:106-10"
"Cambodia","Maculatus Group",NA,NA,NA,"",NA,NA,"","t","","","","Socheath, S., Seng, C., RathTS, Deesin, V., Deesin, T. and Apiwathanasorn, C. (2000).  Study on bionomics of principal malaria vectors in Kratie province, Cambodia. The Southeast Asian Journal of Tropical Medicine and Public Health, 31 Suppl 1:106-10"
"Cambodia","Anopheles minimus complex",NA,NA,NA,"",NA,NA,"","t","t","","","Socheath, S., Seng, C., RathTS, Deesin, V., Deesin, T. and Apiwathanasorn, C. (2000).  Study on bionomics of principal malaria vectors in Kratie province, Cambodia. The Southeast Asian Journal of Tropical Medicine and Public Health, 31 Suppl 1:106-10"
"India","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Das, P.K., Gunasekaran, K., Sahu, S.S., Sadanandane, C. and Jambulingam, P. (1990).  Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa. Indian Journal of Malariology, 27(3):173-81"
"India","Anopheles annularis complex",NA,NA,NA,"",NA,NA,"","","","","","Das, P.K., Gunasekaran, K., Sahu, S.S., Sadanandane, C. and Jambulingam, P. (1990).  Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa. Indian Journal of Malariology, 27(3):173-81"
"India","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Das, P.K., Gunasekaran, K., Sahu, S.S., Sadanandane, C. and Jambulingam, P. (1990).  Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa. Indian Journal of Malariology, 27(3):173-81"
"India","Anopheles fluviatilis complex",NA,NA,NA,"",NA,NA,"","","","","","Das, P.K., Gunasekaran, K., Sahu, S.S., Sadanandane, C. and Jambulingam, P. (1990).  Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa. Indian Journal of Malariology, 27(3):173-81"
"India","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Das, P.K., Gunasekaran, K., Sahu, S.S., Sadanandane, C. and Jambulingam, P. (1990).  Seasonal prevalence and resting behaviour of malaria vectors in Koraput district, Orissa. Indian Journal of Malariology, 27(3):173-81"
"India","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles annularis complex",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles fluviatilis complex",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles subpictus complex",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles barbirostris complex",NA,NA,NA,"",NA,NA,"","","","","","Gunasekaran, K., Sahu, S.S., Parida, S.K., Sadanandane, C., Jambulingam, P. and Das, P.K. (1989).  Anopheline fauna of Koraput district, Orissa state, with particular reference to transmission of malaria. Indian Journal of Medical Research, 89:340-3"
"India","Anopheles aconitus",NA,NA,NA,"",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles annularis complex",4.3,NA,NA,"HBI (%)",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles barbirostris complex",NA,NA,NA,"",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles subpictus complex",6.8,NA,NA,"HBI (%)",NA,NA,"","","","","","Dash, A.P., Hazra, R.K., Mahapatra, N. and Tripathy, H.K. (2000).  Disappearance of malaria vector Anopheles sundaicus from Chilika Lake area of Orissa State in India. Medical and Veterinary Entomology, 14(4):445-9"
"India","Anopheles barbirostris complex",NA,NA,NA,"",NA,NA,"","","","","","Prakash, A., Bhattacharyya, D.R., Mohapatra, P.K. and Mahanta, J. (2004).  Role of the prevalent Anopheles species in the transmission of Plasmodium falciparum and P. vivax in Assam state, north-eastern India. Annals of Tropical Medicine and Parasitology, 98(6):559-68"
"India","Anopheles culicifacies complex",NA,NA,NA,"",NA,NA,"","","","","","Prakash, A., Bhattacharyya, D.R., Mohapatra, P.K. and Mahanta, J. (2004).  Role of the prevalent Anopheles species in the transmission of Plasmodium falciparum and P. vivax in Assam state, north-eastern India. Annals of Tropical Medicine and Parasitology, 98(6):559-68"
"India","Anopheles dirus complex",NA,NA,NA,"",NA,NA,"","","","","","Prakash, A., Bhattacharyya, D.R., Mohapatra, P.K. and Mahanta, J. (2004).  Role of the prevalent Anopheles species in the transmission of Plasmodium falciparum and P. vivax in Assam state, north-eastern India. Annals of Tropical Medicine and Parasitology, 98(6):559-68"
"India","Anopheles fluviatilis complex",NA,NA,NA,"",NA,NA,"","","","","","Prakash, A., Bhattacharyya, D.R., Mohapatra, P.K. and Mahanta, J. (2004).  Role of the prevalent Anopheles species in the transmission of Plasmodium falciparum and P. vivax in Assam state, north-eastern India. Annals of Tropical Medicine and Parasitology, 98(6):559-68"
"India","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Prakash, A., Bhattacharyya, D.R., Mohapatra, P.K. and Mahanta, J. (2004).  Role of the prevalent Anopheles species in the transmission of Plasmodium falciparum and P. vivax in Assam state, north-eastern India. Annals of Tropical Medicine and Parasitology, 98(6):559-68"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
"Malaysia","Maculatus Group",NA,NA,NA,"",NA,NA,"","","","","","Rahman, W.A., Abu Hassan, A., Adanan, C.R. and Mohd Razha, R. (1995).  A report of Anopheles (Diptera: Culicidae) attracted to cow bait in a malaria endemic village in Peninsular Malaysia near the Thailand border. The Southeast Asian Journal of Tropical Medicine and Public Health, 26(2):359-63"
