source_id,country,site,lat,long,area_type,insecticide_control,control_type,month_start,month_end,year_start,year_end,season_given,season_calc,species,assi,id_1,id_2,biology_sampling_1,biology_sampling_2,biology_sampling_3,biology_sampling_n,parity_n,parity_total,parity_percent,daily_survival_rate_percent,fecundity,gonotrophic_cycle_days,infection_sampling_1,infection_sampling_2,infection_sampling_3,infection_sampling_n,sr_dissection_n,sr_dissection_total,sr_dissection_percent,sr_csp_n,sr_csp_pf_n,sr_csp_pv_n,sr_csp_pv_210_n,sr_csp_pv_247_n,sr_csp_pm_n,sr_csp_po_n,sr_csp_total,sr_csp_percent,sr_csp_pf_percent,sr_csp_pv_percent,sr_csp_pv_210_percent,sr_csp_pv_247_percent,sr_csp_pm_percent,sr_csp_po_percent,oocyst_n,oocyst_total,oocyst_percent,eir,eir_period,ext_incubation_period_days,indoor_hbr_sampling,indoor_hbr,outdoor_hbr_sampling,outdoor_hbr,combined_hbr_sampling_1,combined_hbr_sampling_2,combined_hbr_sampling_3,combined_hbr_sampling_n,combined_hbr,hbr_unit,indoor_host_sampling,indoor_host_n,indoor_host_total,indoor_host,outdoor_host_sampling,outdoor_host_n,outdoor_host_total,outdoor_host,combined_host_sampling_1,combined_host_sampling_2,combined_host_sampling_3,combined_host_sampling_n,combined_host_n,combined_host_total,combined_host,host_unit,other_host_sampling_1,other_host_sampling_2,other_host_sampling_3,other_host_sampling_n,other_host_n,other_host_total,other_host,other_host_unit,indoor_number_sampling_nights_biting,indoor_biting_sampling,indoor_biting_n,indoor_biting_total,indoor_biting,outdoor_number_sampling_nights_biting,outdoor_biting_sampling,outdoor_biting_n,outdoor_biting_total,outdoor_biting,indoor_outdoor_biting_units,indoor_number_sampling_nights_biting_activity,indoor_1830_2130,indoor_2130_0030,indoor_0030_0330,indoor_0330_0630,outdoor_number_sampling_nights_biting_activity,outdoor_1830_2130,outdoor_2130_0030,outdoor_0030_0330,outdoor_0330_0630,combined_number_sampling_nights_biting_activity,combined_1830_2130,combined_2130_0030,combined_0030_0330,combined_0330_0630,indoor_resting_sampling,indoor_unfed,indoor_fed,indoor_gravid,indoor_total,outdoor_resting_sampling,outdoor_unfed,outdoor_fed,outdoor_gravid,outdoor_total,other_resting_sampling,other_unfed,other_fed,other_gravid,other_total,resting_unit,citation,pubmed_id
492,Tanzania (United Republic of),Mvuleni,-3.529,37.343,point,f,,6,6,1994,1995,,,Anopheles arabiensis,only 42/19029 (total over study)  An gambie complex identified cytotaxonomically. All were An arabiensis,M,cyto,MB,ILT,,,498,950,52.4,79.4,,2.8,MB,ILT,,,0,777,0,4,,,,,,,4357,0.1,,,,,,,6,765,0.8,314,year,,ILT,8.6,,,,,,,,HBR (night),HRI,132,193,68.4,RO (pit),45,174,26,,,,,,,,,,,,,,,,,,MBI,2593,3486,74.4,,MBO,893,3486,25.5,%calc,,,,,,,,,,,,,,,,HRI,,1,3.3,,RO (pit),,1,2.5,,,,,,,fed:gravid,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
492,Tanzania (United Republic of),Chekereni,-3.503,37.409,point,f,,6,6,1994,1995,,,Anopheles arabiensis,only 42/19029 (total over study)  An gambie complex identified cytotaxonomically. All were An arabiensis,M,cyto,MB,ILT,,,567,1099,51.6,79.6,,2.9,MB,ILT,,,0,610,0,1,,,,,,,9941,0.01,,,,,,,2,595,0.3,122,year,,ILT,33.3,,,,,,,,HBR (night),HRI,381,795,47.9,RO (pit),21,501,4,,,,,,,,,,,,,,,,,,MBI,2917,4513,64.6,,MBO,1596,4513,35.4,%calc,,,,,,,,,,,,,,,,HRI,,1,4.5,,RO (pit),,1,7,,,,,,,fed:gravid,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
492,Tanzania (United Republic of),Kisangasangeni,-3.536,37.48,point,f,,6,6,1994,1995,,,Anopheles arabiensis,only 42/19029 (total over study)  An gambie complex identified cytotaxonomically. All were An arabiensis,M,cyto,MB,ILT,,,261,262,50,78.1,,2.8,MB,ILT,,,0,420,0,3,,,,,,,2481,0.12,,,,,,,2,419,0.5,320,year,,ILT,7.3,,,,,,,,HBR (night),HRI,160,241,66.4,RO (pit),5,121,4,,,,,,,,,,,,,,,,,,MBI,1232,1754,70.2,,MBO,522,1754,29.8,%calc,,,,,,,,,,,,,,,,HRI,,1,3.7,,RO (pit),,1,1.4,,,,,,,fed:gravid,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
492,Tanzania (United Republic of),Mvuleni,-3.529,37.343,point,f,,6,6,1994,1995,,,Anopheles funestus complex,,M,,,,,,,,,,,,,,,,,,,1,,,,,,,84,1.2,,,,,,,,,,88,year,,ILT,0.2,,,,,,,,HBR (night),,,,,,,,,HRI,RO (pit),,,5,17,29,HBI (%),,,,,,,,,,MBI,12,50,24,,MBO,38,50,76,%calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
492,Tanzania (United Republic of),Chekereni,-3.503,37.409,point,f,,6,6,1994,1995,,,Anopheles funestus complex,,M,,,,,,,,,,,,,,,,,,,0,,,,,,,13,0,,,,,,,,,,0,year,,ILT,0.05,,,,,,,,HBR (night),,,,,,,,,HRI,RO (pit),,,0,3,0,HBI (%),,,,,,,,,,MBI,0,3,0,,MBO,3,3,100,%calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
492,Tanzania (United Republic of),Kisangasangeni,-3.536,37.48,point,f,,6,6,1994,1995,,,Anopheles funestus complex,,M,,,,,,,,,,,,,,,,,,,1,,,,,,,121,0.82,,,,,,,,,,30,year,,ILT,0.1,,,,,,,,HBR (night),,,,,,,,,HRI,RO (pit),,,11,31,36,HBI (%),,,,,,,,,,MBI,3,29,10.3,,MBO,26,29,89.7,%calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ijumba, J.N., Mosha, F.W. and Lindsay, S.W. (2002).  Malaria transmission risk variations derived from different agricultural practices in an irrigated area of northern Tanzania. Medical and Veterinary Entomology, 16(1):28-38",11963979
1057,Tanzania (United Republic of),Kumbamtoni,,,point,f,,9,9,1986,1987,,,Anopheles gambiae,sample of captured An gambiae s.l. - 'almost all were An gambiae',?,PCR,,,,,,,,,,,ILT,,,,,550,10,,,,,,,,26,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108",1680284
1057,Tanzania (United Republic of),Kumbamtoni,,,point,f,,10,4,1987,1989,,,Anopheles gambiae,sample of captured An gambiae s.l. - 'almost all were An gambiae',?,PCR,,,,,,,,,,,ILT,,,,,624,7.7,,,,,,,,86,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108",1680284
1057,Tanzania (United Republic of),Kumbamtoni,,,point,t,ITN,4,3,1989,1990,,,Anopheles gambiae,sample of captured An gambiae s.l. - 'almost all were An gambiae',?,PCR,,,,,,,,,,,ILT,,,,,40,2.5,,,,,,,,15,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108",1680284
1057,Tanzania (United Republic of),Kumbamtoni,,,point,f,,9,9,1986,1987,,,Anopheles funestus complex,,?,,,,,,,,,,,,ILT,,,,,204,9.8,,,,,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magesa, S.M., Wilkes, T.J., Mnzava, A.E., Njunwa, K.J., Myamba, J., Kivuyo, M.D., Hill, N., Lines, J.D. and Curtis, C.F. (1991).  Trial of pyrethroid impregnated bednets in an area of Tanzania holoendemic for malaria. Part 2. Effects on the malaria vector population. Acta Tropica, 49(2):97-108",1680284
