source_id,country,site,lat,long,area_type,insecticide_control,control_type,month_start,month_end,year_start,year_end,season_given,season_calc,species,assi,id_1,id_2,biology_sampling_1,biology_sampling_2,biology_sampling_3,biology_sampling_n,parity_n,parity_total,parity_percent,daily_survival_rate_percent,fecundity,gonotrophic_cycle_days,infection_sampling_1,infection_sampling_2,infection_sampling_3,infection_sampling_n,sr_dissection_n,sr_dissection_total,sr_dissection_percent,sr_csp_n,sr_csp_pf_n,sr_csp_pv_n,sr_csp_pv_210_n,sr_csp_pv_247_n,sr_csp_pm_n,sr_csp_po_n,sr_csp_total,sr_csp_percent,sr_csp_pf_percent,sr_csp_pv_percent,sr_csp_pv_210_percent,sr_csp_pv_247_percent,sr_csp_pm_percent,sr_csp_po_percent,oocyst_n,oocyst_total,oocyst_percent,eir,eir_period,ext_incubation_period_days,indoor_hbr_sampling,indoor_hbr,outdoor_hbr_sampling,outdoor_hbr,combined_hbr_sampling_1,combined_hbr_sampling_2,combined_hbr_sampling_3,combined_hbr_sampling_n,combined_hbr,hbr_unit,indoor_host_sampling,indoor_host_n,indoor_host_total,indoor_host,outdoor_host_sampling,outdoor_host_n,outdoor_host_total,outdoor_host,combined_host_sampling_1,combined_host_sampling_2,combined_host_sampling_3,combined_host_sampling_n,combined_host_n,combined_host_total,combined_host,host_unit,other_host_sampling_1,other_host_sampling_2,other_host_sampling_3,other_host_sampling_n,other_host_n,other_host_total,other_host,other_host_unit,indoor_number_sampling_nights_biting,indoor_biting_sampling,indoor_biting_n,indoor_biting_total,indoor_biting,outdoor_number_sampling_nights_biting,outdoor_biting_sampling,outdoor_biting_n,outdoor_biting_total,outdoor_biting,indoor_outdoor_biting_units,indoor_number_sampling_nights_biting_activity,indoor_1830_2130,indoor_2130_0030,indoor_0030_0330,indoor_0330_0630,outdoor_number_sampling_nights_biting_activity,outdoor_1830_2130,outdoor_2130_0030,outdoor_0030_0330,outdoor_0330_0630,combined_number_sampling_nights_biting_activity,combined_1830_2130,combined_2130_0030,combined_0030_0330,combined_0330_0630,indoor_resting_sampling,indoor_unfed,indoor_fed,indoor_gravid,indoor_total,outdoor_resting_sampling,outdoor_unfed,outdoor_fed,outdoor_gravid,outdoor_total,other_resting_sampling,other_unfed,other_fed,other_gravid,other_total,resting_unit,citation,pubmed_id
1224,Yemen,Zabid District,14.218,43.324,polygon small,,,3,8,1994,1994,,,Anopheles arabiensis,No detail on how specimens were identified.,M,,,,,,,,,,,,HRI,,,,4,600,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"al-Maktari, M.T. and Bassiouny, H.K. (1999).  Bionomics of anopheline vectors in Zabid District, Al-Hodeidah Governorate, Republic of Yemen. Eastern Mediterranean Health Journal, 5(4):698-705",11338692
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,3,3,1990,1990,dry,,Anopheles annularis complex,,M,,,,,,,,,,,,MBO,,,,,,,,0,,,,,,386,1.55,0,1.55,,,,,,,,0,?,,,,MBO,8.04,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,4,4,1990,1990,dry,,Anopheles annularis complex,,M,,,,,,,,,,,,MBO,,,,,,,0,0,0,,,,,588,0,0,0,,,,,,,,0,?,,,,MBO,12.25,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,6,6,1990,1990,dry,,Anopheles annularis complex,,M,,,,,,,,,,,,MBO,,,,,,,0,0,0,,,,,50,0,0,0,,,,,,,,0,?,,,,MBO,1.56,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,3,3,1990,1990,dry,,Anopheles culicifacies complex,,M,,,,,,,,,,,,MBO,,,,,,,,2,,,,,,48,10.41,4.16,6.25,,,,,,,,0,?,,,,MBO,1,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,4,4,1990,1990,dry,,Anopheles culicifacies complex,,M,,,,,,,,,,,,MBO,,,,,,,,0,,,,,,31,9.6,0,9.6,,,,,,,,0,?,,,,MBO,0.64,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,6,6,1990,1990,dry,,Anopheles culicifacies complex,,M,,,,,,,,,,,,MBO,,,,,,,0,0,0,,,,,8,0,0,0,,,,,,,,0,?,,,,MBO,0.25,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,3,3,1990,1990,dry,,Anopheles aconitus,,M,,,,,,,,,,,,MBO,,,,,,,,0,,,,,,43,2.32,0,2.32,,,,,,,,0,?,,,,MBO,0.89,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,4,4,1990,1990,dry,,Anopheles aconitus,,M,,,,,,,,,,,,MBO,,,,,,,0,0,0,,,,,2,0,0,0,,,,,,,,0,?,,,,MBO,0.04,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
734,Sri Lanka,Weheragala,8.0944,81.0302,point,,,6,6,1990,1990,dry,,Anopheles aconitus,,M,,,,,,,,,,,,MBO,,,,,,,0,0,0,,,,,1,0,0,0,,,,,,,,0,?,,,,MBO,0.03,,,,,,HBR (hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramasamy, R., De Alwis, R., Wijesundere, A. and Ramasamy, M.S. (1992).  Malaria transmission at a new irrigation project in Sri Lanka: the emergence of Anopheles annularis as a major vector. American Journal of Tropical Medicine and Hygiene, 47(5):547-53",1449195
